ЗелАО,,275,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Крюково,,"ГБУ ""ЦФКиС ЗелАО""",ДСТГМ,30,2,29,870,165,4950,14929200,12345300,90480,74820,52,43,,,,,
ЗелАО,,276,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Скандинавская ходьба,Скандинавская ходьба,Улица,Территория объекта,Старое Крюково,,"ГБУ ""ЦФКиС ЗелАО""",ДСТГМ,30,2,3,90,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,277,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Гимнастика,Гимнастика,помещение,Спортзал,Силино,,"ГБУ ""ЦФКиС ЗелАО""",ДСТГМ,30,2,15,450,165,4950,7722000,6385500,46800,38700,52,43,,,,,
ЗелАО,,278,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Силино,,"ГБУ ""ЦФКиС ЗелАО""",ДСТГМ,30,2,22,660,165,4950,11325600,9365400,68640,56760,52,43,,,,,
ЗелАО,,279,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Скандинавская ходьба,Скандинавская ходьба,Улица,Лесопарковая зона,Матушкино,"г. Зеленоград, корпус 205а","ГБУ ТЦСО ""Зеленоградский""",ДТСЗН,45,5,1,45,165,7425,1930500,1596375,11700,9675,52,43,,,,,
ЗелАО,,280,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Матушкино,"г. Зеленоград, корпус 205а","ГБУ ТЦСО ""Зеленоградский""",ДТСЗН,25,5,3,75,165,4125,3217500,2660625,19500,16125,52,43,,,,,
ЗелАО,,281,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Гимнастика,Гимнастика,помещение,Актовый зал,Матушкино,"г. Зеленоград, корпус 205а","ГБУ ТЦСО ""Зеленоградский""",ДТСЗН,15,5,1,15,165,2475,643500,532125,3900,3225,52,43,,,,,
ЗелАО,,282,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,"фитнес, тренажеры","фитнес, тренажеры",помещение,Тренажерный зал,Матушкино,"г. Зеленоград, корпус 205а","ГБУ ТЦСО ""Зеленоградский""",ДТСЗН,7,4,1,7,165,1155,240240,198660,1456,1204,52,43,,,,,
ЗелАО,,283,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Скандинавская ходьба,Скандинавская ходьба,Улица,Лесопарковая зона,Савелки,"г. Зеленоград, корпус 320","ГБУ ТЦСО ""Зеленоградский"" филиал ""Савелки""",ДТСЗН,45,2,1,45,165,7425,772200,638550,4680,3870,52,43,,,,,
ЗелАО,,284,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Актовый зал,Савелки,"г. Зеленоград, корпус 320","ГБУ ТЦСО ""Зеленоградский"" филиал ""Савелки""",ДТСЗН,20,5,1,20,165,3300,858000,709500,5200,4300,52,43,,,,,
ЗелАО,,285,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,"фитнес, тренажеры","фитнес, тренажеры",помещение,Тренажерный зал,Савелки,"г. Зеленоград, корпус 320","ГБУ ТЦСО ""Зеленоградский"" филиал ""Савелки""",ДТСЗН,7,3,4,28,165,1155,720720,595980,4368,3612,52,43,,,,,
ЗелАО,,286,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Скандинавская ходьба,Скандинавская ходьба,Улица,Лесопарковая зона,Крюково,"г. Зеленоград, корпус 2014","ГБУ ТЦСО ""Зеленоградский"" филиал ""Крюково""",ДТСЗН,60,5,1,60,165,9900,2574000,2128500,15600,12900,52,43,,,,,
ЗелАО,,287,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Крюково,"г. Зеленоград, корпус 2014","ГБУ ТЦСО ""Зеленоградский"" филиал ""Крюково""",ДТСЗН,25,5,2,50,165,4125,2145000,1773750,13000,10750,52,43,,,,,
ЗелАО,,288,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Гимнастика,Гимнастика,помещение,Спортзал,Крюково,"г. Зеленоград, корпус 2014","ГБУ ТЦСО ""Зеленоградский"" филиал ""Крюково""",ДТСЗН,15,5,2,30,165,2475,1287000,1064250,7800,6450,52,43,,,,,
ЗелАО,,289,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,"фитнес, тренажеры","фитнес, тренажеры",помещение,Тренажерный зал,Крюково,"г. Зеленоград, корпус 2014","ГБУ ТЦСО ""Зеленоградский"" филиал ""Крюково""",ДТСЗН,5,5,1,5,165,825,214500,177375,1300,1075,52,43,,,,,
ЗелАО,,290,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Старое Крюково,"г. Зеленоград, корпус 826","ГБУ ТЦСО ""Зеленоградский"" филиал ""Солнечный""",ДТСЗН,25,5,3,75,165,4125,3217500,2660625,19500,16125,52,43,,,,,
ЗелАО,,291,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,"фитнес, тренажеры","фитнес, тренажеры",помещение,Спортзал,Старое Крюково,"г. Зеленоград, корпус 826","ГБУ ТЦСО ""Зеленоградский"" филиал ""Солнечный""",ДТСЗН,15,1,1,15,165,2475,128700,106425,780,645,52,43,,,,,
ЗелАО,,292,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,"фитнес, тренажеры","фитнес, тренажеры",помещение,Тренажерный зал,Старое Крюково,"г. Зеленоград, корпус 826","ГБУ ТЦСО ""Зеленоградский"" филиал ""Солнечный""",ДТСЗН,3,5,1,3,165,495,128700,106425,780,645,52,43,,,,,
ЗелАО,,293,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Матушкино,,Фитнес-клуб GreenCity,ДСТГМ,30,2,14,420,165,4950,7207200,5959800,43680,36120,52,43,,,,,
